,0
2011-02-09,12236.596879176814
2011-02-10,-16284.298134768698
2011-02-11,86396.26135369047
2011-02-14,300754.62102156837
2011-02-15,156538.13263777044
2011-02-16,-14039.48217222272
2011-02-17,103331.08461052494
2011-02-18,113069.43855583818
2011-02-21,-109547.4545296402
2011-02-22,271304.182577321
2011-02-23,-137452.91141251771
2011-02-24,16706.085995685917
2011-02-25,81047.19767545427
2011-02-28,50219.350875675635
2011-03-01,-53038.79422741417
2011-03-02,42754.016664034934
2011-03-03,105591.89485247566
2011-03-04,-52321.4597492054
2011-03-07,123195.94382847211
2011-03-08,25499.97886996703
2011-03-09,-30486.72205129182
2011-03-10,-2355.269109639454
2011-03-11,23649.115747637537
2011-03-14,-86001.00716609781
2011-03-15,-38835.77626148704
2011-03-16,-40271.32534106512
2011-03-17,-27726.76831426051
2011-03-18,-67310.53448082988
2011-03-21,2364.2511577139735
2011-03-22,-56874.007891109264
2011-03-23,3741.10462824962
2011-03-24,149227.85071047768
2011-03-25,-749.1942739019843
2011-03-28,132982.7857195402
2011-03-29,-81478.973957066
2011-03-30,-41996.660930984
2011-03-31,-32536.735791562438
2011-04-01,-178018.3993538749
2011-04-06,130679.92469678623
2011-04-07,192232.23737554613
2011-04-08,49386.80961775326
2011-04-11,60055.80257057738
2011-04-12,-124105.25445897983
2011-04-13,26128.84669002468
2011-04-14,276581.3162243467
2011-04-15,-45654.33556403659
2011-04-18,114259.90690398985
2011-04-19,25014.533910387734
2011-04-20,-34140.560886825246
2011-04-21,29485.9228058123
2011-04-22,-104264.56274317262
2011-04-25,24118.722274231106
2011-04-26,-299230.50531313196
2011-04-27,24474.69112284024
2011-04-28,-95861.75432228988
2011-04-29,-267768.4210974315
2011-05-03,146966.87978158423
2011-05-04,11325.902557232002
2011-05-05,-69395.19727571316
2011-05-06,-35946.04438530046
2011-05-09,159010.80908346982
2011-05-10,-2327.031737775218
2011-05-11,21469.936050128224
2011-05-12,6302.613708671497
2011-05-13,-14568.46383655904
2011-05-16,73128.66391078201
2011-05-17,1982.0817337633844
2011-05-18,-66483.46836652874
2011-05-19,103024.66694289686
2011-05-20,6826.057224640849
2011-05-23,-65828.68829127905
2011-05-24,-274910.2196478965
2011-05-25,6202.869883514704
2011-05-26,-30841.759836673173
2011-05-27,-165218.82380032467
2011-05-30,-90293.09370692435
2011-05-31,-178444.18542964692
2011-06-01,61180.57633455762
2011-06-02,-54676.97496400174
2011-06-03,-90043.1157937918
2011-06-07,171120.43674584094
2011-06-08,314944.860607767
2011-06-09,125813.27848927784
2011-06-10,-29577.41103059805
2011-06-13,-211733.13118012506
2011-06-14,-296308.71003106644
2011-06-15,179000.25903088338
2011-06-16,-183740.2312331944
2011-06-17,-202117.73240892816
2011-06-20,-44738.297305209715
2011-06-21,-73026.09190868992
2011-06-22,203860.15289398655
2011-06-23,-99063.86575655748
2011-06-24,163060.656128475
2011-06-27,165140.4904339348
2011-06-28,60457.601245652164
2011-06-29,-5248.02279913713
2011-06-30,-55151.84741536453
2011-07-01,171613.51140793136
2011-07-04,36923.7955272012
2011-07-05,124739.15718246339
2011-07-06,27286.99908613183
2011-07-07,69739.30467328717
2011-07-08,-53532.017310873125
2011-07-11,57238.63783369772
2011-07-12,-933.8154403943402
2011-07-13,-90718.38267911681
2011-07-14,128608.45820890796
2011-07-15,73594.34935605264
2011-07-18,60300.02739146146
2011-07-19,-68976.3387358399
2011-07-20,-5329.789588826177
2011-07-21,41113.39337858695
2011-07-22,-205.99179979107646
2011-07-25,-37133.210367893815
2011-07-26,-184900.72212613758
2011-07-27,122251.84709815854
2011-07-28,-21598.404760406298
2011-07-29,40614.54997942343
2011-08-01,-35049.473796471175
2011-08-02,99241.15194113395
2011-08-03,-51621.92374772618
2011-08-04,73.84800807465552
2011-08-05,-226730.9300901555
2011-08-08,-54823.3740855543
2011-08-09,-407424.77569016337
2011-08-10,282759.9982824104
2011-08-11,-218972.19250424881
2011-08-12,401353.76708535163
2011-08-15,9600.293119072046
2011-08-16,115572.52615281122
2011-08-17,-92037.77799070525
2011-08-18,-5200.145068711545
2011-08-19,-301688.0797143782
2011-08-22,105026.21758192265
2011-08-23,-15922.51369339192
2011-08-24,166744.35934870507
2011-08-25,-51143.27379465276
2011-08-26,133833.14705421598
2011-08-29,-11557.83772834076
2011-08-30,25118.798989158102
2011-08-31,-112263.70760529907
2011-09-01,40167.61029528699
2011-09-02,-11993.945127817457
2011-09-05,-112618.5842842392
2011-09-06,-69288.47305621539
2011-09-07,66299.87186796273
2011-09-08,134048.46659776953
2011-09-09,-42111.38557383287
2011-09-13,-128965.36419656443
2011-09-14,31238.926088410153
2011-09-15,21475.30126070515
2011-09-16,48248.36264622533
2011-09-19,-47610.65433192457
2011-09-20,-124493.16670907942
2011-09-21,39832.33853605591
2011-09-22,113577.419980608
2011-09-23,-297371.96391485736
2011-09-26,-13.678792622100369
2011-09-27,-26392.487626277736
2011-09-28,34661.58380131124
2011-09-29,-211960.91963436324
2011-09-30,-203909.12035104344
2011-10-10,7051.53830440927
2011-10-11,2743.974511200967
2011-10-12,-156538.12295290586
2011-10-13,292541.92314028676
2011-10-14,41355.470715076764
2011-10-17,47748.3413547568
2011-10-18,50388.686841959374
2011-10-19,-214055.02939245425
2011-10-20,-32515.39202535155
2011-10-21,-183664.03377223198
2011-10-24,13700.174653398131
2011-10-25,67486.74652231594
2011-10-26,124521.99223346918
2011-10-27,101517.3853753777
2011-10-28,76597.57167823451
2011-10-31,83905.0035768325
2011-11-01,16312.8178410295
2011-11-02,2644.447213076621
2011-11-03,154967.77650066715
2011-11-04,53792.54665698213
2011-11-07,-33176.750336035635
2011-11-08,52942.397701858485
2011-11-09,26161.200000116984
2011-11-10,29164.67347100798
2011-11-11,-19232.332903442406
2011-11-14,79571.41802974949
2011-11-15,60721.96214714512
2011-11-16,-18173.151322875347
2011-11-17,-176654.3471383898
2011-11-18,-50642.38739448255
2011-11-21,-139785.75899688512
2011-11-22,-74529.07543403374
2011-11-23,118226.42832879238
2011-11-24,-138148.63893273912
2011-11-25,91498.65140095171
2011-11-28,-48974.24087896688
2011-11-29,20256.536327189177
2011-11-30,9160.147688531588
2011-12-01,-49970.221906530045
2011-12-02,-78170.5310706233
2011-12-05,-151548.11013240094
2011-12-06,-215424.05484180103
2011-12-07,73343.79468795762
2011-12-08,-3442.5824913474794
2011-12-09,-45222.82125688827
2011-12-12,-23627.810525473917
2011-12-13,-123985.92260949843
2011-12-14,-255680.60814701262
2011-12-15,-280032.9577917454
2011-12-16,-211541.97588024943
2011-12-19,65055.11611935407
2011-12-20,-37663.654591849976
2011-12-21,123858.60634179252
2011-12-22,-353513.61204021267
2011-12-23,-72690.79215467577
2011-12-26,66024.96224477269
2011-12-27,-93656.44824176768
2011-12-28,-76261.16995856598
2011-12-29,-31006.94587307931
2011-12-30,50797.766174716264
2012-01-04,195598.0798517777
2012-01-05,-350592.78502292413
2012-01-06,-100889.6261619178
2012-01-09,-35578.44944641375
2012-01-10,401993.21381338296
2012-01-11,221598.32908447296
2012-01-12,52975.54735476132
2012-01-13,203403.8082261216
2012-01-16,-192327.67677607795
2012-01-17,-139362.11570917635
2012-01-18,306734.9042258683
2012-01-19,-69848.26286756495
2012-01-20,161629.84218311578
2012-01-30,55740.93682794389
2012-01-31,-113546.47827417974
2012-02-01,74543.18123830794
2012-02-02,-52422.20810699217
2012-02-03,246943.3853005719
2012-02-06,146563.9147496166
2012-02-07,-19153.146515657096
2012-02-08,-94322.95499017395
2012-02-09,190664.4300541053
2012-02-10,52104.57817386385
2012-02-13,-42272.73354966186
2012-02-14,89554.73496018935
2012-02-15,29152.57879856681
2012-02-16,106283.68493799037
2012-02-17,27063.53888394667
2012-02-20,57383.42607944616
2012-02-21,-4030.1851379790223
2012-02-22,13048.606116485274
2012-02-23,135879.7069439205
2012-02-24,-13870.032605599703
2012-02-27,190701.81250783647
2012-02-28,1335.5528279881933
2012-02-29,-99196.49352271357
2012-03-01,-67846.01037949293
2012-03-02,119484.16924673493
2012-03-05,176772.48672492758
2012-03-06,-27577.474472663118
2012-03-07,-52859.10858796007
2012-03-08,-16732.37946173525
2012-03-09,170319.159208338
2012-03-12,116702.54237850712
2012-03-13,-26729.388570835454
2012-03-14,99829.37020374025
2012-03-15,-326524.14454867714
2012-03-16,-225331.85568305675
2012-03-19,91580.99257765795
2012-03-20,113775.49432868027
2012-03-21,-152162.62271692802
2012-03-22,-34942.28637753958
2012-03-23,35068.63613854522
2012-03-26,16928.974389446215
2012-03-27,-46500.22654015009
2012-03-28,-16571.37097084809
2012-03-29,-236347.78351346223
2012-03-30,97039.04213338601
2012-04-05,-62424.66317221195
2012-04-06,110082.29654243759
2012-04-09,27253.6879596782
2012-04-10,-59745.76697555874
2012-04-11,109687.31020186246
2012-04-12,162191.5338329632
2012-04-13,414749.6473317409
2012-04-16,18245.329472329893
2012-04-17,-12781.317497931477
2012-04-18,-156853.26425462883
2012-04-19,132274.59838363423
2012-04-20,-11604.081496858807
2012-04-23,-4491.760100592513
2012-04-24,-225022.2086248238
2012-04-25,30417.679380302277
2012-04-26,306583.56942400313
2012-04-27,-95532.98734898918
2012-05-02,36280.627861960376
2012-05-03,-12715.159739510205
2012-05-04,48273.63980294338
2012-05-07,208989.12051299782
2012-05-08,62664.42903164416
2012-05-09,-156514.50439883003
2012-05-10,6200.97322459915
2012-05-11,13187.877392897699
2012-05-14,11077.687868096264
2012-05-15,-98146.9789240904
2012-05-16,56420.796303146104
2012-05-17,27000.614762146753
2012-05-18,79828.94296537338
2012-05-21,-63689.090007726336
2012-05-22,72205.89611313195
2012-05-23,111547.06444964746
2012-05-24,186791.28659277214
2012-05-25,-189087.25448185485
2012-05-28,-67596.54948326948
2012-05-29,43948.44250501906
2012-05-30,138856.9511293818
2012-05-31,44945.75439378303
2012-06-01,83380.7539452795
2012-06-04,-165753.09425949355
2012-06-05,36637.82776432173
2012-06-06,28563.690011381823
2012-06-07,38144.562348864754
2012-06-08,10260.242540641051
2012-06-11,-193198.68459101004
2012-06-12,157531.80738047103
2012-06-13,28401.239933337263
2012-06-14,49695.953443101644
2012-06-15,15471.410753089718
2012-06-18,65931.76393589374
2012-06-19,31619.927392406164
2012-06-20,2496.204895285124
2012-06-21,-74245.21360376732
2012-06-25,-93344.02625383463
