,000001.SZ,000002.SZ,000004.SZ,000005.SZ,000006.SZ,000007.SZ,000008.SZ,000009.SZ,000010.SZ
2010-01-04,3.6930652441526406,2.497687326549487,0.0,2.325581395348832,2.11827007943513,2.7027027027026955,0.0,2.094717668488148,2.4451939291737013
2010-01-05,4.850274145929981,3.0188679245283043,0.0,8.180300500834727,4.676258992805752,5.194805194805199,0.0,4.520295202952015,2.794242167654531
2010-01-06,2.274678111587988,2.992277992277997,0.0,3.548387096774204,2.962962962962949,2.5034770514603575,0.0,3.598484848484855,1.5517241379310323
2010-01-07,2.8384279475982632,1.833976833976829,0.0,4.1118421052631575,3.324099722991701,4.450625869262869,0.0,7.6777251184834165,5.460750853242311
2010-01-08,1.7660044150110312,1.848249027237367,0.0,3.25900514579759,3.258845437616384,3.151862464183377,0.0,7.162790697674414,3.818827708703388
2010-01-11,6.19469026548672,5.024154589371977,0.0,3.395585738539901,4.636363636363634,1.991465149359894,0.0,4.968944099378871,2.3560209424083727
2010-01-12,3.7610619469026454,3.8310412573673758,0.0,7.044673539518903,3.7348272642390317,2.545968882602542,0.0,3.348416289592753,3.986135181975729
2010-01-13,4.899777282850771,1.8464528668610252,0.0,2.9363784665579074,2.23613595706619,2.0979020979020904,0.0,4.854368932038825,2.693602693602696
2010-01-14,2.6717557251908333,1.6932270916334657,0.0,3.1456953642384025,2.4029574861367817,2.5862068965517198,0.0,4.10065237651444,2.2900763358778593
2010-01-15,4.768717215069147,1.8943170488534524,0.0,3.2948929159802334,3.216911764705879,3.366058906030859,0.0,6.163753449862005,2.5167785234899385
2010-01-18,2.566495566962206,1.972386587771196,0.0,3.119868637110023,2.8854824165915107,3.5470668485675274,0.0,5.5944055944055995,4.658901830282866
2010-01-19,3.632976245924551,1.2884043607532285,0.0,2.572347266881031,2.224199288256228,0.0,0.0,4.765957446808514,2.9718875502007966
2010-01-20,5.847953216374272,3.6779324055665925,0.0,4.426229508196729,5.461056401074302,5.584415584415581,0.0,5.66356720202874,5.081967213114749
2010-01-21,6.6417212347988865,2.459016393442607,0.0,2.5466893039049294,3.0869971936389162,3.5519125683060073,0.0,5.272108843537408,4.329725228975865
2010-01-22,6.922398589065256,2.3469387755102082,0.0,5.432937181663842,5.8823529411764595,3.3783783783783785,4.959422903516688,5.517826825127338,6.168831168831168
2010-01-25,4.332755632582322,2.094240837696346,0.0,4.432624113475177,2.103250478011478,3.1944444444444504,2.3020257826887667,6.02836879432624,6.082725060827252
2010-01-26,4.461469130238839,4.306722689075633,0.0,8.256880733944957,5.647517039922104,5.815602836879434,5.797101449275358,6.7796610169491585,5.344129554655871
2010-01-27,4.0816326530612335,2.9284164859002315,0.0,4.07766990291262,3.3502538071065997,4.592592592592587,4.069175991861652,5.440158259149346,4.688832054560945
2010-01-28,4.290278411684169,3.1216361679225075,0.0,2.9354207436399116,2.4217961654894067,4.372355430183352,4.158004158004163,4.2843232716650395,2.7506654835847426
2010-01-29,4.73563218390805,2.444208289054183,0.0,7.0175438596491295,3.1968031968031996,4.641350210970465,5.202913631633716,4.385128693994289,1.9486271036315224
2010-02-01,3.5483870967741913,4.710920770877938,0.0,4.823747680890535,6.425702811244985,3.4732272069464583,3.634475597092415,6.711409395973147,3.7653239929947437
2010-02-02,3.295668549905835,2.86928799149842,0.0,3.3149171270718183,2.7237354085603056,2.5677603423680417,2.5278058645096055,6.118546845124271,3.319148936170217
2010-02-03,6.270472625175478,3.7715517241379275,0.0,5.482041587901702,5.801376597836773,5.788712011577416,6.67340748230536,7.003891050583648,0.0
2010-02-04,1.9486271036315224,2.4338624338624193,0.0,11.50943396226414,6.086956521739138,3.4732272069464583,3.826787512588107,11.455399061032871,2.8691983122362856
2010-02-05,4.0990990990991,1.8065887353878842,0.0,3.2608695652173862,2.9693486590038365,2.2988505747126458,4.623115577889457,8.788395904436854,3.394039735099339
2010-02-08,2.8636363636363593,1.521739130434789,0.0,3.339517625231906,1.9920318725099708,1.4684287812041195,2.569169960474307,4.830053667262962,2.689075630252103
2010-02-09,2.875695732838578,1.4254385964912366,0.0,4.243542435424362,1.8018018018018167,1.1730205278592385,0.0,6.1111111111111125,4.545454545454552
2010-02-10,1.636363636363634,1.5401540154015465,0.0,1.5209125475285186,1.6129032258064533,1.7492711370262406,2.5666337611056247,2.281368821292761,3.056768558951962
2010-02-11,1.2118491921005528,1.8458197611292064,4.399999999999995,1.3182674199623405,1.391650099403584,2.167630057803461,2.739726027397254,2.629107981220668,3.0456852791878273
2010-02-12,1.9448213478064211,0.6465517241379173,3.263157894736847,1.6949152542372856,1.0858835143139134,3.8904899135446627,2.346041055718477,3.7807183364839188,1.672240802675594
2010-02-22,1.64810690423163,1.067235859124863,5.234460196292262,2.429906542056073,1.8737672583826552,5.364511691884452,2.606177606177602,2.5782688766114124,2.424749163879591
2010-02-23,2.941176470588245,1.9438444924406015,3.6876355748373078,2.6365348399246646,2.3046092184368776,3.542234332425065,2.8155339805825332,2.3696682464454977,2.3255813953488325
